longitude,latitude
-122.211025,37.7120158
-122.2110485,37.7120282
-122.211072,37.7120434
-122.2110949,37.7120576
-122.2111174,37.7120716
-122.2111432,37.7120869
-122.2111684,37.7121003
-122.571383,45.4352259
-112.00914,33.6541971
-112.009124,33.6542137
-112.009108,33.6542303
-122.840121,45.3553799
-112.009092,33.654247
-112.072104,33.4812058
-112.072059,33.4812059
-112.068931,33.4451287
-78.1653674,43.9591754
-112.068991,33.4451283
-112.069051,33.445129
-112.063569,33.4506461
-112.063582,33.4506468
-90.1919074,38.629986
-90.1899655,38.6311405
-90.2984508,38.655636
-78.1924849,43.9723146
-76.9375111,38.9862628
-122.1875429,47.5997438
-83.5321828,31.44879
-76.5850644,38.5369122
-71.2469738,46.8269546
-71.2470304,46.8269981
-105.103883,39.9189684
-86.6357876,31.856013
-111.68171,32.8787592
-112.1184462,34.3274507
-110.145581,34.9229518
-95.402129,29.7367654
-114.242312,33.6607334
-112.7314877,33.9702644
-114.619093,32.7267268
-122.1983777,39.9264996
-121.188171,38.6423254
-83.6224424,41.3753855
-71.1364659,42.5544064
-105.103508,39.9192696
-73.0090794,41.2458309
-73.0105251,41.2462403
-77.6815843,43.0858743
-123.3951485,48.4812459
-83.3775913,33.9452611
-122.6785808,45.5011777
-71.4067583,46.8587422
-90.319924,38.6137428
-79.5935856,43.5470477
-83.6443875,41.3768335
-122.338754,48.509639
-73.6716627,41.0415998
-71.2150736,46.8376738
-71.2150307,46.8376701
-122.694154,45.4798785
-105.160426,39.9564749
-105.166142,39.9535607
-105.1733626,39.9549045
-105.171576,39.9581817
-76.1874749,43.1023654
-83.649343,41.3739941
-93.0112029,44.9543485
-76.9046751,39.1483505
-112.077093,33.4434464
-112.0772,33.4434473
-112.077167,33.4434499
-112.077139,33.4434504
-112.077433,33.4434561
-112.077403,33.4434565
-112.077464,33.443457
-112.077525,33.4434601
-112.077472,33.4436418
-112.077499,33.4436447
-112.077523,33.4436465
-112.077185,33.4437149
-112.077182,33.4437589
-112.07718,33.4438
-75.5792106,38.3888545
-112.052652,33.44814
-112.052381,33.4481435
-77.0436437,37.4987605
-86.0649455,39.907382
-86.1089711,39.9109483
-86.1099224,39.9147564
-86.1105194,39.914975
-86.0926885,39.9263448
-86.1083632,39.9263992
-86.0938206,39.9274135
-86.1000345,39.9274701
-86.1130209,39.9275722
-86.1001316,39.9290201
-86.0926288,39.9296167
-86.160647,39.9731276
-86.1252754,40.0080345
-123.1289592,49.2380524
-77.2666273,38.936888
-93.2806635,44.9741015
-93.2806821,44.9741206
-72.5952995,41.2802935
-76.6488331,39.5260914
-94.4145917,39.0932993
-121.9435853,37.490982
-121.9436196,37.4910534
-121.9436463,37.4911027
-121.9436806,37.4911665
-121.9437116,37.491225
-121.9437442,37.4912881
-121.9437715,37.4913452
-121.9438033,37.4914047
-121.9438383,37.4914682
-121.943887,37.4915698
-121.9439103,37.4916174
-121.9439384,37.4916675
-121.943965,37.4917156
-121.9439968,37.4917788
-121.9440271,37.4918455
-121.9440589,37.4918959
-121.9440884,37.4919494
-121.9441162,37.4920137
-75.5757144,38.3920515
-79.453612,43.996571
-84.4235583,33.9632023
-122.554211,45.5717756
-122.291066,49.0465137
-78.6799695,33.8157849
-78.8930302,33.6800014
-78.9378357,33.6606779
-75.6043274,38.3452859
-84.4563127,33.9131118
-82.3993784,34.8524949
-122.7533625,45.3964865
-74.4446785,40.4159354
-83.6422518,41.382164
-83.6497585,41.3753536
-122.264813,49.0281998
-76.6613253,39.354331
-76.6618366,39.351679
-76.6637286,39.3535805
-76.8567711,39.21404
-59.1423624,47.5761722
